"Id";"label";"Type"
96;"22/11/1910 (BS)";"evenement"
142;"06/03/1912 (MARYLE)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
34;"19/02/1909 (BS)";"evenement"
41;"09/07/1909 (BS)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
130;"22/02/1912 (BS)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
221;"15/03/1913 (BS)";"evenement"
292;"01/10/1913 (FELTHAM)";"evenement"
120;"29/11/1911 (BS)";"evenement"
135;"05/03/1912 (BS)";"evenement"
40;"02/07/1909 (BS)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
96;"22/11/1910 (BS)";"evenement"
332;"12/03/1914 (LS)";"evenement"
34;"19/02/1909 (BS)";"evenement"
350;"15/05/1914 (WM)";"evenement"
96;"22/11/1910 (BS)";"evenement"
10;"14/02/1907 (BS)";"evenement"
11;"14/02/1907 (WM)";"evenement"
4;"24/10/1906 (WM)";"evenement"
25;"01/07/1908 (BS)";"evenement"
30;"29/10/1908 (WM)";"evenement"
96;"22/11/1910 (BS)";"evenement"
25;"01/07/1908 (BS)";"evenement"
44;"16/07/1909 (BS)";"evenement"
57;"20/08/1909 (BS)";"evenement"
85;"09/12/1909 (LIVERPOOL)";"evenement"
117;"24/11/1911 (BS)";"evenement"
194;"29/01/1913 (MARYLE)";"evenement"
310;"25/11/1913 (LEEDS)";"evenement"
278;"28/07/1913 (BROMLEY)";"evenement"
290;"15/09/1913 (BS)";"evenement"
332;"12/03/1914 (LS)";"evenement"
139;"05/03/1912 (WLDN)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
40;"02/07/1909 (BS)";"evenement"
113;"21/11/1911 (BS)";"evenement"
314;"15/12/1913 (RICHMOND)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
11;"14/02/1907 (WM)";"evenement"
16;"30/01/1908 (MARLBORO)";"evenement"
22;"14/02/1908 (WM)";"evenement"
107;"09/05/1911 (WOLVERHAMPTON)";"evenement"
124;"13/12/1911 (LS)";"evenement"
127;"23/12/1911 (BS)";"evenement"
182;"19/11/1912 (NEWINGTON)";"evenement"
252;"07/06/1913 (MARLBORO)";"evenement"
36;"26/02/1909 (BS)";"evenement"
52;"31/07/1909 (EXETER)";"evenement"
62;"04/09/1909 (MANC)";"evenement"
68;"09/10/1909 (MANC)";"evenement"
70;"21/10/1909 (MANC)";"evenement"
99;"28/11/1910 (BS)";"evenement"
10;"14/02/1907 (BS)";"evenement"
191;"09/01/1913 (CCC)";"evenement"
239;"23/04/1913 (MANC)";"evenement"
35;"25/02/1909 (BS)";"evenement"
60;"28/08/1909 (LIVERPOOL)";"evenement"
215;"09/03/1913 (BS)";"evenement"
219;"14/03/1913 (GUILDHALL)";"evenement"
293;"03/10/1913 (BRADFORD)";"evenement"
41;"09/07/1909 (BS)";"evenement"
53;"31/07/1909 (THAMES)";"evenement"
118;"27/11/1911 (BS)";"evenement"
142;"06/03/1912 (MARYLE)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
40;"02/07/1909 (BS)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
113;"21/11/1911 (BS)";"evenement"
142;"06/03/1912 (MARYLE)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
243;"03/05/1913 (BS)";"evenement"
380;"02/07/1914 (CANARVON)";"evenement"
381;"07/07/1914 (CCC)";"evenement"
192;"28/01/1913 (BS)";"evenement"
236;"17/04/1913 (BS)";"evenement"
26;"01/07/1908 (WM)";"evenement"
340;"31/03/1914 (BS)";"evenement"
349;"15/05/1914 (BIRMINGHAM)";"evenement"
165;"28/06/1912 (NLDN)";"evenement"
168;"29/06/1912 (WM)";"evenement"
234;"10/04/1913 (NLDN)";"evenement"
118;"27/11/1911 (BS)";"evenement"
134;"04/03/1912 (WM)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
29;"26/10/1908 (MARLBORO)";"evenement"
33;"18/02/1909 (WM)";"evenement"
356;"23/05/1914 (BS)";"evenement"
202;"10/02/1913 (BS)";"evenement"
205;"18/02/1913 (MARLBORO)";"evenement"
267;"08/07/1913 (MANC)";"evenement"
134;"04/03/1912 (WM)";"evenement"
156;"26/03/1912 (LS)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
145;"07/03/1912 (WLDN)";"evenement"
192;"28/01/1913 (BS)";"evenement"
293;"03/10/1913 (BRADFORD)";"evenement"
374;"16/06/1914 (THAMES)";"evenement"
40;"02/07/1909 (BS)";"evenement"
120;"29/11/1911 (BS)";"evenement"
66;"21/09/1909 (BIRMINGHAM)";"evenement"
96;"22/11/1910 (BS)";"evenement"
118;"27/11/1911 (BS)";"evenement"
36;"26/02/1909 (BS)";"evenement"
96;"22/11/1910 (BS)";"evenement"
147;"11/03/1912 (BS)";"evenement"
26;"01/07/1908 (WM)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
192;"28/01/1913 (BS)";"evenement"
228;"04/04/1913 (CCC)";"evenement"
238;"22/04/1913 (NLDN)";"evenement"
100;"30/11/1910 (BS)";"evenement"
104;"01/03/1911 (BS)";"evenement"
213;"07/03/1913 (CCC)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
116;"23/11/1911 (BS)";"evenement"
132;"04/03/1912 (BS)";"evenement"
156;"26/03/1912 (LS)";"evenement"
379;"30/06/1914 (BS)";"evenement"
40;"02/07/1909 (BS)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
95;"19/11/1910 (BS)";"evenement"
97;"24/11/1910 (BS)";"evenement"
41;"09/07/1909 (BS)";"evenement"
53;"31/07/1909 (THAMES)";"evenement"
74;"13/11/1909 (BRISTOL)";"evenement"
118;"27/11/1911 (BS)";"evenement"
147;"11/03/1912 (BS)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
174;"07/08/1912 (DUBLIN)";"evenement"
10;"14/02/1907 (BS)";"evenement"
129;"07/02/1912 (BS)";"evenement"
3;"04/07/1906 (MARYLE)";"evenement"
117;"24/11/1911 (BS)";"evenement"
132;"04/03/1912 (BS)";"evenement"
156;"26/03/1912 (LS)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
96;"22/11/1910 (BS)";"evenement"
210;"01/03/1913 (MARLBORO)";"evenement"
389;"16/07/1914 (MARLBORO)";"evenement"
391;"17/07/1914 (MARYLE)";"evenement"
118;"27/11/1911 (BS)";"evenement"
142;"06/03/1912 (MARYLE)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
255;"10/06/1913 (DONCASTER)";"evenement"
260;"21/06/1913 (BS)";"evenement"
264;"30/06/1913 (BS)";"evenement"
309;"24/11/1913 (BIRMINGHAM)";"evenement"
117;"24/11/1911 (BS)";"evenement"
40;"02/07/1909 (BS)";"evenement"
83;"07/12/1909 (LIVERPOOL)";"evenement"
287;"09/08/1913 (BS)";"evenement"
301;"21/10/1913 (LS)";"evenement"
359;"25/05/1914 (MARYLE)";"evenement"
362;"26/05/1914 (MARYLE)";"evenement"
123;"12/12/1911 (LS)";"evenement"
148;"12/03/1912 (BS)";"evenement"
40;"02/07/1909 (BS)";"evenement"
120;"29/11/1911 (BS)";"evenement"
143;"07/03/1912 (BS)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
118;"27/11/1911 (BS)";"evenement"
142;"06/03/1912 (MARYLE)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
96;"22/11/1910 (BS)";"evenement"
142;"06/03/1912 (MARYLE)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
116;"23/11/1911 (BS)";"evenement"
140;"05/03/1912 (WM)";"evenement"
155;"19/03/1912 (LS)";"evenement"
130;"22/02/1912 (BS)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
20;"31/01/1908 (WM)";"evenement"
25;"01/07/1908 (BS)";"evenement"
275;"21/07/1913 (BROMLEY)";"evenement"
353;"22/05/1914 (MARLBORO)";"evenement"
381;"07/07/1914 (CCC)";"evenement"
77;"19/11/1909 (BS)";"evenement"
113;"21/11/1911 (BS)";"evenement"
142;"06/03/1912 (MARYLE)";"evenement"
155;"19/03/1912 (LS)";"evenement"
200;"07/02/1913 (LS)";"evenement"
232;"08/04/1913 (NLDN)";"evenement"
370;"10/06/1914 (LS)";"evenement"
116;"23/11/1911 (BS)";"evenement"
122;"12/12/1911 (BS)";"evenement"
147;"11/03/1912 (BS)";"evenement"
140;"05/03/1912 (WM)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
96;"22/11/1910 (BS)";"evenement"
118;"27/11/1911 (BS)";"evenement"
96;"22/11/1910 (BS)";"evenement"
10;"14/02/1907 (BS)";"evenement"
117;"24/11/1911 (BS)";"evenement"
96;"22/11/1910 (BS)";"evenement"
134;"04/03/1912 (WM)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
77;"19/11/1909 (BS)";"evenement"
130;"22/02/1912 (BS)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
41;"09/07/1909 (BS)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
131;"02/03/1912 (BS)";"evenement"
60;"28/08/1909 (LIVERPOOL)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
216;"11/03/1913 (BS)";"evenement"
226;"28/03/1913 (BS)";"evenement"
227;"28/03/1913 (WLDN)";"evenement"
142;"06/03/1912 (MARYLE)";"evenement"
156;"26/03/1912 (LS)";"evenement"
183;"05/12/1912 (ABERDEEN)";"evenement"
20;"31/01/1908 (WM)";"evenement"
25;"01/07/1908 (BS)";"evenement"
51;"30/07/1909 (LIMEHOUSE)";"evenement"
90;"27/12/1909 (LIVERPOOL)";"evenement"
116;"23/11/1911 (BS)";"evenement"
123;"12/12/1911 (LS)";"evenement"
142;"06/03/1912 (MARYLE)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
116;"23/11/1911 (BS)";"evenement"
132;"04/03/1912 (BS)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
350;"15/05/1914 (WM)";"evenement"
378;"23/06/1914 (CCC)";"evenement"
388;"16/07/1914 (BS)";"evenement"
251;"27/05/1913 (MARYLE)";"evenement"
257;"16/06/1913 (BS)";"evenement"
60;"28/08/1909 (LIVERPOOL)";"evenement"
136;"05/03/1912 (MANSIONHOUSE)";"evenement"
161;"22/05/1912 (CCC)";"evenement"
179;"29/10/1912 (LIVERPOOL)";"evenement"
181;"18/11/1912 (MANC)";"evenement"
218;"14/03/1913 (BS)";"evenement"
227;"28/03/1913 (WLDN)";"evenement"
119;"28/11/1911 (BS)";"evenement"
131;"02/03/1912 (BS)";"evenement"
279;"28/07/1913 (BS)";"evenement"
287;"09/08/1913 (BS)";"evenement"
52;"31/07/1909 (EXETER)";"evenement"
118;"27/11/1911 (BS)";"evenement"
131;"02/03/1912 (BS)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
20;"31/01/1908 (WM)";"evenement"
25;"01/07/1908 (BS)";"evenement"
278;"28/07/1913 (BROMLEY)";"evenement"
40;"02/07/1909 (BS)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
33;"18/02/1909 (WM)";"evenement"
40;"02/07/1909 (BS)";"evenement"
43;"14/07/1909 (BLACKBURN)";"evenement"
120;"29/11/1911 (BS)";"evenement"
145;"07/03/1912 (WLDN)";"evenement"
156;"26/03/1912 (LS)";"evenement"
40;"02/07/1909 (BS)";"evenement"
113;"21/11/1911 (BS)";"evenement"
122;"12/12/1911 (BS)";"evenement"
40;"02/07/1909 (BS)";"evenement"
84;"08/12/1909 (BOLTON)";"evenement"
68;"09/10/1909 (MANC)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
96;"22/11/1910 (BS)";"evenement"
116;"23/11/1911 (BS)";"evenement"
121;"01/12/1911 (BS)";"evenement"
122;"12/12/1911 (BS)";"evenement"
2;"21/06/1906 (MARYLE)";"evenement"
21;"12/02/1908 (WM)";"evenement"
229;"04/04/1913 (MANC)";"evenement"
235;"12/04/1913 (CROYDON)";"evenement"
249;"22/05/1913 (CAMBRIDGE)";"evenement"
3;"04/07/1906 (MARYLE)";"evenement"
119;"28/11/1911 (BS)";"evenement"
140;"05/03/1912 (WM)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
185;"18/12/1912 (BS)";"evenement"
360;"26/05/1914 (BS)";"evenement"
130;"22/02/1912 (BS)";"evenement"
192;"28/01/1913 (BS)";"evenement"
203;"14/02/1913 (THAMES)";"evenement"
207;"20/02/1913 (RICHMOND)";"evenement"
333;"14/03/1914 (WM)";"evenement"
341;"06/04/1914 (MARLBORO)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
236;"17/04/1913 (BS)";"evenement"
242;"01/05/1913 (EDGWARE)";"evenement"
283;"29/07/1913 (NLDN)";"evenement"
116;"23/11/1911 (BS)";"evenement"
145;"07/03/1912 (WLDN)";"evenement"
34;"19/02/1909 (BS)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
11;"14/02/1907 (WM)";"evenement"
116;"23/11/1911 (BS)";"evenement"
173;"04/08/1912 (WLDN)";"evenement"
24;"25/02/1908 (BS)";"evenement"
26;"01/07/1908 (WM)";"evenement"
45;"16/07/1909 (LEIGH)";"evenement"
47;"23/07/1909 (BS)";"evenement"
48;"26/07/1909 (NOTTINGHAM)";"evenement"
50;"27/07/1909 (WOLVERHAMPTON)";"evenement"
52;"31/07/1909 (EXETER)";"evenement"
57;"20/08/1909 (BS)";"evenement"
64;"07/09/1909/ (BS)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
136;"05/03/1912 (MANSIONHOUSE)";"evenement"
206;"18/02/1913 (THAMES)";"evenement"
254;"09/06/1913 (DONCASTER)";"evenement"
294;"07/10/1913 (MARLBORO)";"evenement"
315;"15/12/1913 (THORNBY)";"evenement"
113;"21/11/1911 (BS)";"evenement"
141;"06/03/1912 (BS)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
116;"23/11/1911 (BS)";"evenement"
34;"19/02/1909 (BS)";"evenement"
68;"09/10/1909 (MANC)";"evenement"
90;"27/12/1909 (LIVERPOOL)";"evenement"
132;"04/03/1912 (BS)";"evenement"
156;"26/03/1912 (LS)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
145;"07/03/1912 (WLDN)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
192;"28/01/1913 (BS)";"evenement"
217;"13/03/1913 (WLDN)";"evenement"
223;"17/03/1913 (WM)";"evenement"
113;"21/11/1911 (BS)";"evenement"
142;"06/03/1912 (MARYLE)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
184;"11/12/1912 (LS)";"evenement"
260;"21/06/1913 (BS)";"evenement"
264;"30/06/1913 (BS)";"evenement"
269;"10/07/1913 (MANC)";"evenement"
40;"02/07/1909 (BS)";"evenement"
68;"09/10/1909 (MANC)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
36;"26/02/1909 (BS)";"evenement"
61;"03/09/1909 (BS)";"evenement"
62;"04/09/1909 (MANC)";"evenement"
81;"06/12/1909 (RAWTENSTALL)";"evenement"
149;"12/03/1912 (WLDN)";"evenement"
171;"15/07/1912 (LAMBETH)";"evenement"
38;"01/04/1909 (BS)";"evenement"
42;"12/07/1909 (BS)";"evenement"
44;"16/07/1909 (BS)";"evenement"
47;"23/07/1909 (BS)";"evenement"
49;"27/07/1909 (NORTHAMPTON)";"evenement"
54;"04/08/1909 (NLDN)";"evenement"
55;"09/08/1909 (HULL)";"evenement"
64;"07/09/1909/ (BS)";"evenement"
116;"23/11/1911 (BS)";"evenement"
130;"22/02/1912 (BS)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
97;"24/11/1910 (BS)";"evenement"
26;"01/07/1908 (WM)";"evenement"
37;"31/03/1909 (BS)";"evenement"
77;"19/11/1909 (BS)";"evenement"
88;"17/12/1909 (CREWE)";"evenement"
86;"13/12/1909 (LIVERPOOL)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
96;"22/11/1910 (BS)";"evenement"
119;"28/11/1911 (BS)";"evenement"
134;"04/03/1912 (WM)";"evenement"
20;"31/01/1908 (WM)";"evenement"
40;"02/07/1909 (BS)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
187;"21/12/1912 (LAMBETH)";"evenement"
189;"03/01/1913 (BS)";"evenement"
192;"28/01/1913 (BS)";"evenement"
132;"04/03/1912 (BS)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
348;"13/05/1914 (LS)";"evenement"
370;"10/06/1914 (LS)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
96;"22/11/1910 (BS)";"evenement"
10;"14/02/1907 (BS)";"evenement"
119;"28/11/1911 (BS)";"evenement"
20;"31/01/1908 (WM)";"evenement"
119;"28/11/1911 (BS)";"evenement"
130;"22/02/1912 (BS)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
40;"02/07/1909 (BS)";"evenement"
15;"29/01/1908 (WM)";"evenement"
29;"26/10/1908 (MARLBORO)";"evenement"
71;"30/10/1909 (MANC)";"evenement"
164;"28/06/1912 (LUDLOW)";"evenement"
169;"04/07/1912 (SOUTHWESTERN)";"evenement"
192;"28/01/1913 (BS)";"evenement"
245;"05/05/1913 (BRISTOL)";"evenement"
117;"24/11/1911 (BS)";"evenement"
40;"02/07/1909 (BS)";"evenement"
90;"27/12/1909 (LIVERPOOL)";"evenement"
130;"22/02/1912 (BS)";"evenement"
160;"23/04/1912 (LS)";"evenement"
208;"21/02/1913 (LS)";"evenement"
21;"12/02/1908 (WM)";"evenement"
230;"08/04/1913 (BS)";"evenement"
26;"01/07/1908 (WM)";"evenement"
40;"02/07/1909 (BS)";"evenement"
10;"14/02/1907 (BS)";"evenement"
192;"28/01/1913 (BS)";"evenement"
202;"10/02/1913 (BS)";"evenement"
205;"18/02/1913 (MARLBORO)";"evenement"
265;"05/07/1913 (SURREY)";"evenement"
278;"28/07/1913 (BROMLEY)";"evenement"
3;"04/07/1906 (MARYLE)";"evenement"
396;"14/10/1918 (BS)";"evenement"
398;"09/10/1919 (NEWCASTLE)";"evenement"
132;"04/03/1912 (BS)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
21;"12/02/1908 (WM)";"evenement"
214;"08/03/1913 (MIDDLESEX)";"evenement"
224;"18/03/1913 (LS)";"evenement"
293;"03/10/1913 (BRADFORD)";"evenement"
40;"02/07/1909 (BS)";"evenement"
52;"31/07/1909 (EXETER)";"evenement"
58;"20/08/1909 (LIVERPOOL)";"evenement"
72;"10/11/1909 (BERMONDSEY)";"evenement"
192;"28/01/1913 (BS)";"evenement"
203;"14/02/1913 (THAMES)";"evenement"
207;"20/02/1913 (RICHMOND)";"evenement"
40;"02/07/1909 (BS)";"evenement"
68;"09/10/1909 (MANC)";"evenement"
96;"22/11/1910 (BS)";"evenement"
115;"22/11/1911 (MANSIONHOUSE)";"evenement"
150;"13/03/1912 (LS)";"evenement"
160;"23/04/1912 (LS)";"evenement"
276;"22/07/1913 (BIRMINGHAM)";"evenement"
3;"04/07/1906 (MARYLE)";"evenement"
34;"19/02/1909 (BS)";"evenement"
20;"31/01/1908 (WM)";"evenement"
25;"01/07/1908 (BS)";"evenement"
51;"30/07/1909 (LIMEHOUSE)";"evenement"
153;"19/03/1912 (BS)";"evenement"
40;"02/07/1909 (BS)";"evenement"
68;"09/10/1909 (MANC)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
97;"24/11/1910 (BS)";"evenement"
40;"02/07/1909 (BS)";"evenement"
68;"09/10/1909 (MANC)";"evenement"
75;"15/11/1909 (BRISTOL)";"evenement"
116;"23/11/1911 (BS)";"evenement"
122;"12/12/1911 (BS)";"evenement"
142;"06/03/1912 (MARYLE)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
378;"23/06/1914 (CCC)";"evenement"
97;"24/11/1910 (BS)";"evenement"
215;"09/03/1913 (BS)";"evenement"
267;"08/07/1913 (MANC)";"evenement"
271;"15/07/1913 (MARLBORO)";"evenement"
282;"29/07/1913 (MARLBORO)";"evenement"
286;"02/08/1913 (BS)";"evenement"
295;"09/10/1913 (RICHMOND)";"evenement"
300;"20/10/1913 (MANSIONHOUSE)";"evenement"
328;"09/03/1914 (BS)";"evenement"
331;"11/03/1914 (NLDN)";"evenement"
10;"14/02/1907 (BS)";"evenement"
117;"24/11/1911 (BS)";"evenement"
20;"31/01/1908 (WM)";"evenement"
284;"30/07/1913 (BS)";"evenement"
82;"06/12/1909 (SOUTHPORT)";"evenement"
86;"13/12/1909 (LIVERPOOL)";"evenement"
139;"05/03/1912 (WLDN)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
41;"09/07/1909 (BS)";"evenement"
196;"04/02/1913 (BS)";"evenement"
275;"21/07/1913 (BROMLEY)";"evenement"
308;"17/11/1913 (MANC)";"evenement"
120;"29/11/1911 (BS)";"evenement"
135;"05/03/1912 (BS)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
115;"22/11/1911 (MANSIONHOUSE)";"evenement"
135;"05/03/1912 (BS)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
357;"23/05/1914 (MARLBORO)";"evenement"
375;"18/06/1914 (BS)";"evenement"
377;"22/06/1914 (GUILDHALL)";"evenement"
381;"07/07/1914 (CCC)";"evenement"
10;"14/02/1907 (BS)";"evenement"
115;"22/11/1911 (MANSIONHOUSE)";"evenement"
123;"12/12/1911 (LS)";"evenement"
10;"14/02/1907 (BS)";"evenement"
113;"21/11/1911 (BS)";"evenement"
122;"12/12/1911 (BS)";"evenement"
350;"15/05/1914 (WM)";"evenement"
116;"23/11/1911 (BS)";"evenement"
134;"04/03/1912 (WM)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
369;"08/06/1914 (WM)";"evenement"
382;"08/07/1914 (CCC)";"evenement"
10;"14/02/1907 (BS)";"evenement"
105;"09/03/1911 (BS)";"evenement"
249;"22/05/1913 (CAMBRIDGE)";"evenement"
96;"22/11/1910 (BS)";"evenement"
116;"23/11/1911 (BS)";"evenement"
68;"09/10/1909 (MANC)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
96;"22/11/1910 (BS)";"evenement"
118;"27/11/1911 (BS)";"evenement"
132;"04/03/1912 (BS)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
117;"24/11/1911 (BS)";"evenement"
176;"04/10/1912 (WLDN)";"evenement"
291;"01/10/1913 (BS)";"evenement"
304;"14/11/1913 (HAMMERSMITH)";"evenement"
11;"14/02/1907 (WM)";"evenement"
318;"28/01/1914 (BS)";"evenement"
35;"25/02/1909 (BS)";"evenement"
123;"12/12/1911 (LS)";"evenement"
179;"29/10/1912 (LIVERPOOL)";"evenement"
211;"04/03/1913 (WIMBLEDON)";"evenement"
80;"06/12/1909 (HASLINGDON)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
96;"22/11/1910 (BS)";"evenement"
116;"23/11/1911 (BS)";"evenement"
122;"12/12/1911 (BS)";"evenement"
142;"06/03/1912 (MARYLE)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
10;"14/02/1907 (BS)";"evenement"
179;"29/10/1912 (LIVERPOOL)";"evenement"
58;"20/08/1909 (LIVERPOOL)";"evenement"
130;"22/02/1912 (BS)";"evenement"
25;"01/07/1908 (BS)";"evenement"
40;"02/07/1909 (BS)";"evenement"
10;"14/02/1907 (BS)";"evenement"
106;"05/05/1911 (BS)";"evenement"
11;"14/02/1907 (WM)";"evenement"
37;"31/03/1909 (BS)";"evenement"
63;"06/09/1909 (MANC)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
97;"24/11/1910 (BS)";"evenement"
142;"06/03/1912 (MARYLE)";"evenement"
155;"19/03/1912 (LS)";"evenement"
215;"09/03/1913 (BS)";"evenement"
117;"24/11/1911 (BS)";"evenement"
134;"04/03/1912 (WM)";"evenement"
152;"14/03/1912 (WM)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
134;"04/03/1912 (WM)";"evenement"
157;"27/03/1912 (LS)";"evenement"
270;"12/07/1913 (BS)";"evenement"
87;"14/12/1909 (PRESTON)";"evenement"
119;"28/11/1911 (BS)";"evenement"
130;"22/02/1912 (BS)";"evenement"
159;"20/04/1912 (AYLESBURY)";"evenement"
34;"19/02/1909 (BS)";"evenement"
36;"26/02/1909 (BS)";"evenement"
62;"04/09/1909 (MANC)";"evenement"
81;"06/12/1909 (RAWTENSTALL)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
119;"28/11/1911 (BS)";"evenement"
25;"01/07/1908 (BS)";"evenement"
26;"01/07/1908 (WM)";"evenement"
39;"21/05/1909 (SHEFFIELD)";"evenement"
40;"02/07/1909 (BS)";"evenement"
162;"26/06/1912 (BS)";"evenement"
169;"04/07/1912 (SOUTHWESTERN)";"evenement"
244;"05/05/1913 (BS)";"evenement"
261;"21/06/1913 (KINGSTON)";"evenement"
40;"02/07/1909 (BS)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
115;"22/11/1911 (MANSIONHOUSE)";"evenement"
130;"22/02/1912 (BS)";"evenement"
156;"26/03/1912 (LS)";"evenement"
142;"06/03/1912 (MARYLE)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
275;"21/07/1913 (BROMLEY)";"evenement"
116;"23/11/1911 (BS)";"evenement"
122;"12/12/1911 (BS)";"evenement"
142;"06/03/1912 (MARYLE)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
20;"31/01/1908 (WM)";"evenement"
25;"01/07/1908 (BS)";"evenement"
51;"30/07/1909 (LIMEHOUSE)";"evenement"
73;"10/11/1909 (GUILDHALL)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
98;"25/11/1910 (BS)";"evenement"
116;"23/11/1911 (BS)";"evenement"
122;"12/12/1911 (BS)";"evenement"
142;"06/03/1912 (MARYLE)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
379;"30/06/1914 (BS)";"evenement"
40;"02/07/1909 (BS)";"evenement"
116;"23/11/1911 (BS)";"evenement"
122;"12/12/1911 (BS)";"evenement"
142;"06/03/1912 (MARYLE)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
212;"05/03/1913 (CCC)";"evenement"
318;"28/01/1914 (BS)";"evenement"
40;"02/07/1909 (BS)";"evenement"
52;"31/07/1909 (EXETER)";"evenement"
65;"18/09/1909 (BIRMINGHAM)";"evenement"
97;"24/11/1910 (BS)";"evenement"
116;"23/11/1911 (BS)";"evenement"
122;"12/12/1911 (BS)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
96;"22/11/1910 (BS)";"evenement"
187;"21/12/1912 (LAMBETH)";"evenement"
190;"08/01/1913 (CCC)";"evenement"
192;"28/01/1913 (BS)";"evenement"
142;"06/03/1912 (MARYLE)";"evenement"
154;"19/03/1912 (CCC)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
116;"23/11/1911 (BS)";"evenement"
122;"12/12/1911 (BS)";"evenement"
40;"02/07/1909 (BS)";"evenement"
10;"14/02/1907 (BS)";"evenement"
11;"14/02/1907 (WM)";"evenement"
119;"28/11/1911 (BS)";"evenement"
36;"26/02/1909 (BS)";"evenement"
64;"07/09/1909/ (BS)";"evenement"
8;"14/12/1906 (WM)";"evenement"
94;"24/10/1910 (GUILDHALL)";"evenement"
11;"14/02/1907 (WM)";"evenement"
113;"21/11/1911 (BS)";"evenement"
142;"06/03/1912 (MARYLE)";"evenement"
155;"19/03/1912 (LS)";"evenement"
26;"01/07/1908 (WM)";"evenement"
318;"28/01/1914 (BS)";"evenement"
